N;Aleat Select.;PresqueTri Select.;PresqueTriDeb Select.;PresqueTriDebFin Select.;PresqueTriFin Select.
10;45;45;45;45;45;
20;190;190;190;190;190;
30;435;435;435;435;435;
40;780;780;780;780;780;
50;1225;1225;1225;1225;1225;
60;1770;1770;1770;1770;1770;
70;2415;2415;2415;2415;2415;
80;3160;3160;3160;3160;3160;
90;4005;4005;4005;4005;4005;
100;4950;4950;4950;4950;4950;

N;Aleat Select.;PresqueTri Select.;PresqueTriDeb Select.;PresqueTriDebFin Select.;PresqueTriFin Select.
10;45;45;45;45;45;
20;190;190;190;190;190;
30;435;435;435;435;435;
40;780;780;780;780;780;
50;1225;1225;1225;1225;1225;
60;1770;1770;1770;1770;1770;
70;2415;2415;2415;2415;2415;
80;3160;3160;3160;3160;3160;
90;4005;4005;4005;4005;4005;
100;4950;4950;4950;4950;4950;

N;Aleat Select.;PresqueTri Select.;PresqueTriDeb Select.;PresqueTriDebFin Select.;PresqueTriFin Select.
10;42;17;17;45;17;
20;190;37;37;190;37;
30;420;57;57;435;57;
40;770;77;77;780;77;
50;1170;97;97;1225;97;
60;1650;117;117;1770;117;
70;2394;137;137;2415;137;
80;3150;157;157;3160;157;
90;3990;177;177;4005;177;
100;4905;197;197;4950;197;

N;Aleat Select.;PresqueTri Select.;PresqueTriDeb Select.;PresqueTriDebFin Select.;PresqueTriFin Select.
10;63;18;18;90;18;
20;185;52;52;242;52;
30;376;115;115;376;115;
40;575;185;185;536;185;
50;770;231;231;770;231;
60;915;325;325;915;325;
70;1339;442;442;1063;442;
80;1610;504;504;1294;504;
90;1889;643;643;1444;643;
100;1709;719;719;1610;719;

N;Aleat Select.;PresqueTri Select.;PresqueTriDeb Select.;PresqueTriDebFin Select.;PresqueTriFin Select.
10;13;13;13;15;11;
20;23;29;29;25;27;
30;43;43;37;39;39;
40;55;51;55;57;53;
50;69;63;69;63;67;
60;81;79;81;83;79;
70;95;93;95;93;91;
80;113;105;107;105;115;
90;121;125;117;115;123;
100;131;143;129;135;129;

N;Aleat Select.;PresqueTri Select.;PresqueTriDeb Select.;PresqueTriDebFin Select.;PresqueTriFin Select.
10;55;31;31;42;31;
20;196;71;71;102;71;
30;372;111;111;162;111;
40;682;151;151;222;151;
50;1140;191;191;282;191;
60;1512;231;231;342;231;
70;2247;271;271;402;271;
80;2761;311;311;462;311;
90;3420;351;351;522;351;
100;4605;391;391;582;391;

